Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Initial X Position P2,Initial Y Position P2,Adjustment Count P2,Seed: 41
45,0,0,0,22,1,0,True,False,9,10,0,0,-7.98,8.31,0.1,2.19,1.43,0,1020,370,880,155,0,,,,,
46,0,0,0,22,1,0,True,False,9,10,0,0,-6.28,6.23,0.1,2.95,1.53,0,986,270,872,149,0,,,,,
47,0,0,0,22,1,0,True,False,3,4,0,4,-5.07,5.08,0.1,5.21,1.81,0,380,479,446,628,0,,,,,
48,0,0,0,22,1,0,True,False,9,10,0,0,-6.08,5.97,0.1,2.07,0.62,0,426,250,378,380,0,,,,,
49,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-2.62,2.6,0.18,3.82,1.94,0,874,150,735,102,0,,,,,
50,0,0,0,22,1,0,True,False,3,4,0,4,-4.99,5,0.1,5.21,1.87,0,872,701,983,584,0,,,,,
51,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-1.8,1.96,0.92,2.24,0.69,0,747,747,945,639,0,,,,,
52,0,0,0,22,1,0,True,False,9,10,0,0,-8,8.32,0.1,1.89,1.35,0.14,950,218,726,101,0,,,,,
53,0,0,0,22,1,0,True,False,9,10,0,0,-8.18,8.51,0.1,1.89,1.2,0,808,119,554,135,0,,,,,
54,0,1,0,22,0.45,0.55,False,True,1,5,0,0,13.94,-14.19,1.08,1.51,1.47,0.48,762,744,882,694,0,,,,,
55,0,1,0,22,0.45,0.55,False,True,1,10,0,0,13.87,-14.12,1.08,1.51,1.46,0.48,404,559,481,665,0,,,,,
56,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2,2.17,0.92,2.24,0.62,0,977,255,797,115,0,,,,,
57,0,0,0,22,1,0,True,False,9,10,0,1,-5.15,5.35,0.1,4.32,2.22,0,428,247,375,443,0,,,,,
58,0,0,0,22,1,0,True,False,9,9,0,0,-5.6,5.6,0.1,1.98,1.57,0,606,114,520,154,0,,,,,
59,0,1,0,22,0.27,0.73,False,True,9,11,0,0,11.35,-11.52,0.22,2.66,0.59,0,441,229,389,332,0,,,,,
60,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.08,2.25,0.92,2.24,0.59,0,454,638,656,747,0,,,,,
61,0,0,0,22,1,0,True,False,3,4,0,0,-6.65,6.78,0.1,2.79,2.25,0.16,425,598,571,723,0,,,,,
62,0,0,0,22,1,0,True,False,3,2,0,0,-17.02,17.79,0.1,1.75,0.27,0,404,560,618,739,0,,,,,
63,0,0,0,22,1,0,True,False,3,4,0,0,-6.55,6.55,0.1,1.63,1.3,0.15,415,581,535,705,0,,,,,
64,0,0,0,22,1,0,True,False,3,3,0,0,-6.44,6.57,0.1,0.33,0.34,0,468,652,546,711,0,,,,,
65,0,0,0,22,1,0,True,False,3,8,0,0,-16.94,17.47,0.1,1.68,0.32,0,1024,402,938,204,0,,,,,
66,0,0,0,22,1,0,True,False,3,4,0,4,-4.99,5,0.1,5.21,1.87,0,872,701,983,584,0,,,,,
67,0,0,0,22,1,0,True,False,3,3,0,0,-7.21,7.37,0.1,3.86,2.04,0.42,463,647,587,730,0,,,,,
68,0,0,0,22,1,0,True,False,9,10,0,0,-6.28,6.23,0.1,2.95,1.53,0,986,270,872,149,0,,,,,
69,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-6.73,6.92,0.13,1.57,0.87,0,810,731,987,578,0,,,,,
70,0,0,0,22,1,0,True,False,3,4,0,4,-4.82,4.83,0.1,5.21,1.98,0,634,743,793,736,0,,,,,
71,0,0,0,22,1,0,True,False,3,4,0,4,-5.07,5.08,0.1,5.21,1.81,0,380,479,446,628,0,,,,,
72,0,0,0,22,1,0,True,False,3,4,0,0,-6.27,6.17,0.1,1.42,0.99,0.16,396,541,474,658,0,,,,,
73,0,0,0,22,1,0,True,False,3,4,0,0,-6.27,6.17,0.1,1.42,0.99,0.16,396,541,474,658,0,,,,,
74,0,0,0,22,1,0,True,False,3,4,0,0,-4.79,4.64,0.13,4.35,1.27,0,473,658,615,739,0,,,,,
75,0,0,0,22,1,0,True,False,9,10,0,0,-7.23,7.5,0.1,3.11,1.46,0,375,428,464,649,0,,,,,
76,0,0,0,22,1,0,True,False,9,9,0,0,-5.5,5.45,0.1,2.91,1.76,0,475,190,412,274,0,,,,,
77,0,0,0,22,1,0,True,False,3,4,0,4,-5.07,5.08,0.1,5.21,1.81,0,380,479,446,628,0,,,,,
78,0,0,0,22,1,0,True,False,9,2,0,0,-16.96,17.49,0.1,1.68,0.31,0,721,101,513,160,0,,,,,
79,0,0,0,22,1,0,True,False,9,10,0,0,-6.78,6.93,0.1,2.28,0.93,0,558,133,418,264,0,,,,,
80,0,0,0,22,1,0,True,False,9,7,0,0,-20.1,20.49,0.1,2.98,0.42,0,930,196,783,111,0,,,,,
81,0,0,0,22,1,0,True,False,3,4,0,3,-6.31,6.63,0.09,3.57,0.97,0,723,749,926,659,0,,,,,
82,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-4.33,4.21,0.13,4.77,1.25,0,381,485,450,633,0,,,,,
83,0,0,0,22,1,0,True,False,3,8,0,0,-16.94,17.47,0.1,1.68,0.32,0,1024,402,938,204,0,,,,,
84,0,0,0,22,1,0,True,False,3,2,0,0,-16.91,17.68,0.1,1.75,0.29,0,840,718,1015,504,0,,,,,
85,0,1,0,22,0.77,0.23,False,True,3,4,0,0,-2.6,2.58,0.18,3.82,1.94,0,618,740,765,744,0,,,,,
86,0,0,0,22,1,0,True,False,9,2,0,0,-20.06,20.45,0.1,2.98,0.43,0,555,134,428,247,0,,,,,
87,0,1,0,22,0.77,0.23,False,True,3,4,0,0,-3.61,3.71,0.3,3.79,1.16,0,428,602,566,721,0,,,,,
88,0,0,0,22,1,0,True,False,3,4,0,0,-7.14,7.41,0.1,3.11,1.5,0.14,921,664,1024,450,0,,,,,
89,0,0,0,22,1,0,True,False,9,9,0,0,-5.6,5.6,0.1,1.98,1.57,0,606,114,520,154,0,,,,,
90,0,0,0,22,1,0,True,False,9,10,0,2,-5.97,6.05,0.1,3.93,2.22,0,638,106,472,193,0,,,,,
91,0,0,0,22,1,0,True,False,9,4,0,0,-6.63,6.66,0.1,2.52,0.95,0,375,425,431,608,0,,,,,
92,0,0,0,22,1,0,True,False,3,4,0,0,-6.54,6.54,0.1,1.63,1.3,0.15,399,547,503,684,0,,,,,
93,0,1,0,22,0.27,0.73,False,True,3,5,0,0,11.46,-11.63,0.22,2.66,0.63,0,960,620,1011,518,0,,,,,
94,0,0,0,22,1,0,True,False,9,10,0,0,-8,8.32,0.1,1.89,1.35,0.14,950,218,726,101,0,,,,,
95,0,0,0,22,1,0,True,False,9,10,0,0,-6.78,6.93,0.1,2.28,0.93,0,558,133,418,264,0,,,,,
96,0,0,0,22,1,0,True,False,9,10,0,0,-7.45,7.68,0.1,2.72,1.24,0,1016,350,878,153,0,,,,,
97,0,0,0,22,1,0,True,False,3,2,0,0,-17.58,17.8,0.1,4.63,0,0,817,728,959,622,0,,,,,
98,0,0,0,22,1,0,True,False,3,4,0,0,-5.37,5.52,0.07,3.5,1.24,0.16,649,746,830,723,0,,,,,
99,0,0,0,22,1,0,True,False,9,10,0,4,-4.92,4.92,0.1,5.21,1.92,0,487,179,396,311,0,,,,,
100,0,0,0,22,1,0,True,False,3,4,0,0,-6.23,6.21,0.1,3.2,1.34,0,912,671,1010,521,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2 Win,Collision Occurrence Percent,Attacker off Track %,Attacker Lead % ,Attacker Avg Laps,Defender Avg Laps,,,,,,,3.05,,,,,,,,,,,,,,,,
25,0.00%,21,0.078,1.06,0.91,,,,,,,,,,,,,,,,,,,,,,,
96,0.00%,56,0.3749,1.29,0.89,,,,,,,,,,,,,,,,,,,,,,,
