Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
62,0,0,0,20,1.0,0.0,True,False,9,11,0,3,-2511435,2511422,0,197000,0.0,0.0,7
63,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2008132,-2008772,0,0,0.0,0.0,5
64,0,0,0,20,0.0,1.0,False,True,4,11,0,0,752923,-752934,0,0,2.310140299306064e-177,3.396313140365234e-226,9
65,0,1,0,20,0.4,0.6,False,True,10,10,0,0,250744,-250755,0,0,3.056667128469121e-147,3.3442375177965645e-128,17
66,0,0,1,20,0.0,1.0,False,True,10,8,0,0,252625,-252636,0,0,1.01784254681391e-86,2.552289428863041e-106,5
67,0,2,1,20,0.7,0.25,False,True,4,4,0,0,-159,149,0,0,3.170586218004585e-140,3.366829829659502e-92,17
68,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3265377,-3265388,0,0,0.0,0.0,5
69,0,0,0,20,0.0,1.0,False,True,4,10,0,3,3769369,-3769379,0,131000,0.0,0.0,5
70,0,1,0,20,0.45,0.55,False,True,10,10,0,0,-13,3,0,0,1.605859108128631e-149,1.8716530077749393e-127,17
71,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2511189,-2511200,0,0,0.0,0.0,8
72,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-754620,754609,0,0,0.0,0.0,6
73,0,1,1,20,0.25,0.75,False,True,4,4,0,3,226,-236,0,146000,6.932214354047134e-83,2.291732104718923e-84,16
74,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-4018720,4018709,0,0,0.0,0.0,8
75,0,0,0,20,0.0,1.0,False,True,10,11,0,3,1256057,-1256068,0,177000,0.0,0.0,8
76,0,0,0,20,0.0,1.0,False,True,4,11,0,0,252779,-252790,0,0,0.0,0.0,9
77,0,0,0,20,0.0,1.0,False,True,4,10,0,2,3516317,-3516328,0,111000,0.0,0.0,6
78,0,0,0,20,1.0,0.0,True,False,10,11,0,1,-503082,503072,0,20000,7.262715860659656e-202,1.0753720344818802e-211,9
79,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2009112,-2009123,0,0,0.0,0.0,8
80,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2262784,-2262794,0,0,0.0,0.0,8
81,0,1,1,20,0.2,0.8,False,True,0,11,0,0,3763416,-3763427,0,0,1.165243371115822e-96,1.7653231864569962e-96,10
82,0,0,0,20,1.0,0.0,True,False,4,5,0,0,-2614,2595,0,0,0.0,0.0,8
83,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2763566,-2763577,0,0,0.0,0.0,8
84,0,0,0,20,0.0,1.0,False,True,4,11,0,1,3519491,-3519501,0,20000,3.1897593124105674e-177,4.18778362036683e-187,10
85,0,0,0,20,0.0,1.0,False,True,4,11,0,1,3770383,-3770394,0,20000,3.500074191237592e-120,6.500546411578614e-126,9
86,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1256907,-1256918,0,0,0.0,0.0,8
87,0,0,0,20,1.0,0.0,True,False,10,11,0,3,-2009361,2009350,0,163000,0.0,0.0,6
88,0,1,1,20,0.5,0.5,False,True,0,11,0,0,2256228,-2256228,0,0,7.973177991175983e-98,7.973177991175983e-98,12
89,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-2511899,2511888,0,0,0.0,0.0,5
90,0,0,0,20,1.0,0.0,True,False,4,5,0,0,-1246,1235,0,0,4.918896690491247e-274,4.918896690323845e-274,14
91,0,1,0,20,0.3,0.7,False,True,0,10,0,4,3260551,-3260551,0,203000,5.089595850293426e-174,5.089595850293426e-174,6
92,0,0,0,20,0.0,1.0,False,True,4,11,0,1,3770383,-3770394,0,20000,3.500074191237592e-120,6.500546411578614e-126,9
93,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-2010972,2010961,0,0,0.0,0.0,8
94,0,0,0,20,1.0,0.0,True,False,10,5,0,3,-625,614,0,123000,8.47785003785424e-288,1.9000169908515177e-287,12
95,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-252463,252452,0,0,1.5462687807037888e-229,9.8634762869602e-239,9
96,0,1,0,20,0.85,0.15,False,True,3,10,0,3,500009,-500028,0,135000,1.7917020766916872e-222,8.386308688611023e-216,12
97,0,1,1,20,0.45,0.55,False,True,3,11,0,0,-275,266,0,0,3.175933708753906e-41,2.8208165822585873e-40,10
98,0,0,0,20,1.0,0.0,True,False,10,6,2,0,-2011167,2011147,66000,0,0.0,0.0,9
99,0,1,2,20,0.15,0.8,False,True,3,10,0,3,250800,-250812,0,216000,2.713594977658609e-25,5.7939199708584756e-15,12
100,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1004493,-1004503,0,0,1.4350508613652242e-223,1.8290616065214945e-268,11
