Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Initial X Position P2,Initial Y Position P2,Adjustment Count P2,Seed: 41
43,0,1,0,22,0.5,0.5,False,True,9,10,0,3,4.11,-4.16,0.11,3.89,0.93,0.41,779,110,649,104,5,,,,,
44,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-4.19,4.58,0.21,3.55,0.68,0.15,436,614,637,744,6,,,,,
45,0,1,0,22,0.95,0.05,False,True,9,10,0,6,-6.62,6.97,0.1,4.88,1.27,0.19,1020,370,880,155,2,,,,,
46,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.64,-6.56,0.3,2.44,0.69,0.21,986,270,872,149,2,,,,,
47,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.88,-6.82,0.3,2.44,0.71,0.25,380,479,446,628,2,,,,,
48,0,1,0,22,0.59,0.41,False,True,9,10,0,0,2.71,-2.94,0.07,1.23,2.25,2.24,426,250,378,380,8,,,,,
49,0,1,0,22,0.5,0.5,False,True,9,10,0,0,4.93,-4.97,0.07,2.04,2.21,1.51,874,150,735,102,4,,,,,
50,0,1,0,22,0.41,0.59,False,True,3,5,0,1,6.96,-6.9,0.3,2.44,0.72,0.27,872,701,983,584,2,,,,,
51,0,1,0,22,0.91,0.09,False,True,3,4,0,7,-5.39,5.62,0.2,5.57,0.44,0.42,747,747,945,639,5,,,,,
52,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-4.94,5.25,0.62,2,2.94,2.53,950,218,726,101,6,,,,,
53,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-4.94,5.14,0.59,2.12,2.13,1.45,808,119,554,135,3,,,,,
54,0,1,0,22,0.5,0.5,False,True,3,4,0,3,4.11,-4.16,0.11,3.89,0.93,0.41,762,744,882,694,5,,,,,
55,0,1,0,22,0.64,0.36,False,True,3,10,0,0,1.5,-1.54,0.24,2.6,1.45,1.37,404,559,481,665,8,,,,,
56,0,0,0,22,1,0,True,False,9,8,0,0,-11.34,11.8,0.1,2.99,0.74,0.93,977,255,797,115,3,,,,,
57,0,1,0,22,0.91,0.09,False,True,9,10,0,4,-4.01,4.16,0.13,4.74,2.63,1.1,428,247,375,443,7,,,,,
58,0,1,0,22,0.41,0.59,False,True,9,10,0,0,4.83,-4.91,0.13,3.13,1.36,0.22,606,114,520,154,5,,,,,
59,0,1,0,22,0.64,0.36,False,True,9,10,0,5,0.12,-0.19,0.74,4.86,1.53,1.61,441,229,389,332,10,,,,,
60,0,1,0,22,0.68,0.27,False,True,3,4,0,0,-2.72,2.99,0.08,3.24,0.82,0.38,454,638,656,747,4,,,,,
61,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-4.05,4.25,0.64,3.63,0.56,0.77,425,598,571,723,11,,,,,
62,0,0,0,22,1,0,True,False,3,2,0,0,-17.02,17.79,0.1,1.75,0.27,0,404,560,618,739,0,,,,,
63,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.31,-6.22,0.3,2.44,0.67,0.17,415,581,535,705,2,,,,,
64,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-1.12,0.89,0.1,5.74,1.28,0.31,468,652,546,711,6,,,,,
65,0,1,0,22,0.64,0.36,False,True,3,10,0,0,-1.79,2.1,0.08,3.06,0.73,0.14,1024,402,938,204,5,,,,,
66,0,1,0,22,0.41,0.59,False,True,3,5,0,1,6.96,-6.9,0.3,2.44,0.72,0.27,872,701,983,584,2,,,,,
67,0,1,0,22,0.5,0.5,False,True,3,10,0,0,4.78,-4.82,0.07,2.04,2.21,1.52,463,647,587,730,4,,,,,
68,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.64,-6.56,0.3,2.44,0.69,0.21,986,270,872,149,2,,,,,
69,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-3.78,4.16,0.21,3.55,0.69,0.2,810,731,987,578,5,,,,,
70,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-3.86,3.9,0.2,4.04,1.56,0.87,634,743,793,736,12,,,,,
71,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.88,-6.82,0.3,2.44,0.71,0.25,380,479,446,628,2,,,,,
72,0,1,0,22,0.55,0.45,False,True,3,10,0,3,3.48,-3.49,0.11,3.89,1.16,0.24,396,541,474,658,4,,,,,
73,0,1,0,22,0.55,0.45,False,True,3,10,0,3,3.48,-3.49,0.11,3.89,1.16,0.24,396,541,474,658,4,,,,,
74,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.85,-6.79,0.3,2.44,0.71,0.25,473,658,615,739,2,,,,,
75,0,1,0,22,0.95,0.05,False,True,9,10,0,3,-6.07,6.38,0.4,3.72,0.71,0.33,375,428,464,649,7,,,,,
76,0,1,0,22,0.5,0.45,False,True,9,10,0,3,4.13,-4.24,0.11,3.9,1.02,0.42,475,190,412,274,5,,,,,
77,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.88,-6.82,0.3,2.44,0.71,0.25,380,479,446,628,2,,,,,
78,0,1,0,22,0.68,0.27,False,True,9,10,0,0,-2.15,2.48,0.08,2.02,1.39,1.47,721,101,513,160,7,,,,,
79,0,1,0,22,0.55,0.45,False,True,9,11,0,0,2.89,-2.67,0.27,2.18,0.37,0.94,558,133,418,264,5,,,,,
80,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.47,-6.38,0.3,2.44,0.68,0.19,930,196,783,111,2,,,,,
81,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-3.15,3.42,0.1,2.21,1.61,1.61,723,749,926,659,8,,,,,
82,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.83,-6.77,0.3,2.44,0.7,0.24,381,485,450,633,2,,,,,
83,0,1,0,22,0.64,0.36,False,True,3,10,0,0,-1.79,2.1,0.08,3.06,0.73,0.14,1024,402,938,204,5,,,,,
84,0,1,0,22,0.77,0.23,False,True,3,4,0,2,-5.68,6.24,0.3,2.53,1.93,1.57,840,718,1015,504,5,,,,,
85,0,1,0,22,0.5,0.5,False,True,3,5,0,0,4.95,-4.99,0.07,2.04,2.35,1.51,618,740,765,744,5,,,,,
86,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.51,-6.43,0.3,2.44,0.68,0.19,555,134,428,247,2,,,,,
87,0,1,0,22,0.5,0.5,False,True,3,11,0,0,3.58,-3.4,0.27,2.18,0.62,1.37,428,602,566,721,5,,,,,
88,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-5.98,6.29,0.4,3.72,0.7,0.33,921,664,1024,450,8,,,,,
89,0,1,0,22,0.41,0.59,False,True,9,10,0,0,4.83,-4.91,0.13,3.13,1.36,0.22,606,114,520,154,5,,,,,
90,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.33,2.39,0.32,4.67,1.48,0.57,638,106,472,193,3,,,,,
91,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-2.91,3.04,0.2,5.57,2.03,0.85,375,425,431,608,6,,,,,
92,0,1,0,22,0.64,0.36,False,True,3,10,0,0,-1.62,1.67,0.56,3.8,0.95,0.21,399,547,503,684,6,,,,,
93,0,1,0,22,0.55,0.45,False,True,3,4,0,11,0.16,-0.18,0.67,7.9,1.3,1.13,960,620,1011,518,5,,,,,
94,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-4.94,5.25,0.62,2,2.94,2.53,950,218,726,101,6,,,,,
95,0,1,0,22,0.55,0.45,False,True,9,11,0,0,2.89,-2.67,0.27,2.18,0.37,0.94,558,133,418,264,5,,,,,
96,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-6.25,6.51,0.09,2.68,1.03,0.98,1016,350,878,153,8,,,,,
97,0,1,0,22,0.45,0.55,False,True,3,5,0,1,5.01,-4.96,0.32,2.35,0.52,0,817,728,959,622,1,,,,,
98,0,1,0,22,0.68,0.27,False,True,3,4,0,0,-2.81,2.99,0.09,3.39,2.44,2.28,649,746,830,723,8,,,,,
99,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.03,-6.98,0.3,2.44,0.72,0.28,487,179,396,311,2,,,,,
100,0,1,0,22,0.5,0.5,False,True,3,5,0,0,2.84,-2.9,0.7,1.23,1.99,2.08,912,671,1010,521,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,
P2 Win,Collision Occurrence Percent,Attacker off Track %,Attacker Lead % ,Attacker Avg Laps,Defender Avg Laps,,,,,,,,,,,,,,,,,,,,,,,
96,0.00%,56,0.3749,1.29,0.89,,,,,,,,,,,,,,,,,,,,,,,
